id,company_id,user_id,job_id,role,status,invited_by,created_at,updated_at,is_deleted
68,39072,134,722,viewer,1,5014,2026-02-16 15:10:14,2026-02-16 15:10:14,0
70,39072,18,722,viewer,1,38829,2026-02-18 18:56:30,2026-02-18 18:56:30,0
72,39072,639,0,viewer,1,38829,2026-02-18 18:59:42,2026-02-18 18:59:42,0
74,39072,18,721,viewer,1,38829,2026-02-18 19:05:17,2026-02-18 19:05:17,0
75,39072,18,720,viewer,1,38829,2026-02-23 12:51:29,2026-02-23 12:51:29,0
76,39072,19,703,viewer,1,19,2026-03-03 15:29:22,2026-03-03 15:29:22,0
79,39256,14655,747,viewer,1,19,2026-03-09 16:11:29,2026-03-09 16:11:29,0
80,39072,18,755,viewer,1,38860,2026-03-16 17:08:30,2026-03-16 17:08:30,0
82,38941,19937,740,viewer,1,639,2026-03-19 12:58:32,2026-03-19 12:58:32,0
84,39013,27244,750,viewer,1,27244,2026-03-25 17:09:14,2026-03-25 17:09:14,0
85,39256,19,797,viewer,1,19,2026-03-31 10:41:35,2026-03-31 10:41:35,0
86,39072,19,803,viewer,1,19,2026-03-31 10:42:00,2026-03-31 10:42:00,0
87,39256,39001,798,viewer,1,19,2026-04-02 15:09:31,2026-04-02 15:09:31,0
90,39256,39314,735,viewer,1,39314,2026-04-27 15:49:11,2026-04-27 15:49:11,0
91,39256,40071,798,viewer,1,40071,2026-04-27 18:58:57,2026-04-27 18:58:57,0
92,40074,40071,842,viewer,1,40071,2026-04-27 19:00:57,2026-04-27 19:00:57,0
93,38941,39314,824,viewer,1,39314,2026-04-28 11:50:28,2026-04-28 11:50:28,0
121,39072,518,782,viewer,1,39001,2026-05-01 10:28:00,2026-05-01 10:28:00,0
122,39072,8425,782,viewer,1,39001,2026-05-01 10:28:00,2026-05-01 10:28:00,0
125,39072,39314,782,viewer,1,19,2026-05-01 13:01:53,2026-05-01 13:01:53,0
126,39072,134,782,viewer,1,19,2026-05-01 13:01:53,2026-05-01 13:01:53,0
127,39072,19,782,viewer,1,19,2026-05-01 13:01:53,2026-05-01 13:01:53,0
132,39256,39314,798,viewer,1,39314,2026-05-01 13:11:30,2026-05-01 13:11:30,0
133,39256,18,826,viewer,1,39314,2026-05-01 13:22:32,2026-05-01 13:22:32,0
140,39072,18,781,viewer,1,38860,2026-05-05 17:08:37,2026-05-05 17:08:37,0
141,39072,38872,781,viewer,1,38860,2026-05-05 17:13:05,2026-05-05 17:13:05,0
142,39311,40088,834,viewer,1,40088,2026-05-13 16:16:38,2026-05-13 16:16:38,0
144,39013,30256,750,viewer,1,27244,2026-05-16 11:55:36,2026-05-16 11:55:36,0
145,39256,8545,827,viewer,1,8545,2026-05-18 15:41:16,2026-05-18 15:41:16,0
146,39256,8545,729,viewer,1,8545,2026-05-18 15:43:06,2026-05-18 15:43:06,0
147,39256,8545,851,viewer,1,8545,2026-05-18 16:29:37,2026-05-18 16:29:37,0
148,39256,8545,848,viewer,1,8545,2026-05-18 16:31:39,2026-05-18 16:31:39,0
149,39311,27244,834,viewer,1,18,2026-05-22 15:59:39,2026-05-22 15:59:39,0
150,39256,8545,854,viewer,1,39314,2026-05-25 14:56:25,2026-05-25 14:56:25,0
151,39256,5014,758,viewer,1,5014,2026-05-26 12:23:53,2026-05-26 12:23:53,0
152,5014,5014,826,viewer,1,5014,2026-05-26 12:29:29,2026-05-26 12:29:29,0
153,5014,27244,826,viewer,1,5014,2026-05-26 12:29:29,2026-05-26 12:29:29,0
154,39256,5014,844,viewer,1,5014,2026-05-26 12:32:59,2026-05-26 12:32:59,0
155,39256,27244,844,viewer,1,5014,2026-05-26 12:32:59,2026-05-26 12:32:59,0
156,39256,5014,723,viewer,1,5014,2026-05-26 15:10:24,2026-05-26 15:10:24,0
157,39256,5014,843,viewer,1,5014,2026-05-26 15:37:43,2026-05-26 15:37:43,0
158,39256,5014,729,viewer,1,5014,2026-05-26 15:39:16,2026-05-26 15:39:16,0
159,39256,5014,854,viewer,1,5014,2026-05-26 15:55:43,2026-05-26 15:55:43,0
160,39256,5014,862,viewer,1,639,2026-05-26 17:53:21,2026-05-26 17:53:21,0
162,39256,5014,863,viewer,1,5014,2026-05-27 12:40:57,2026-05-27 12:40:57,0
163,39256,5014,861,viewer,1,5014,2026-05-27 13:02:36,2026-05-27 13:02:36,0
164,40137,40119,866,viewer,1,40119,2026-05-28 11:41:59,2026-05-28 11:41:59,0
165,39013,40083,846,viewer,1,27244,2026-05-30 12:06:47,2026-05-30 12:06:47,0
166,39256,39314,863,viewer,1,18,2026-05-30 15:32:00,2026-05-30 15:32:00,0
167,40137,40085,869,viewer,1,40119,2026-06-02 16:14:46,2026-06-02 16:14:46,0
168,40137,134,869,viewer,1,40119,2026-06-02 16:14:46,2026-06-02 16:14:46,0
169,40137,40085,870,viewer,1,40119,2026-06-02 17:18:59,2026-06-02 17:18:59,0
171,40137,134,870,viewer,1,40119,2026-06-02 17:18:59,2026-06-02 17:18:59,0
172,40137,38860,870,viewer,1,40119,2026-06-02 17:18:59,2026-06-02 17:18:59,0
173,40137,40085,871,viewer,1,40119,2026-06-02 17:29:29,2026-06-02 17:29:29,0
174,40137,38860,869,viewer,1,40119,2026-06-03 17:38:25,2026-06-03 17:38:25,0
175,40137,40085,872,viewer,1,40119,2026-06-03 18:14:57,2026-06-03 18:14:57,0
176,39013,88,846,viewer,1,27244,2026-06-04 18:24:39,2026-06-04 18:24:39,0
177,39013,27244,874,viewer,1,27244,2026-06-04 18:32:26,2026-06-04 18:32:26,0
178,39072,18,778,viewer,1,639,2026-06-09 11:16:01,2026-06-09 11:16:01,0
179,39072,19,778,viewer,1,639,2026-06-09 11:16:01,2026-06-09 11:16:01,0
184,39072,34627,776,viewer,1,40290,2026-06-10 11:52:05,2026-06-10 11:52:05,0
185,39072,36570,776,viewer,1,40290,2026-06-10 11:52:05,2026-06-10 11:52:05,0
186,39072,35595,887,viewer,1,40290,2026-06-10 12:07:40,2026-06-10 12:07:40,0
187,39072,34177,887,viewer,1,40290,2026-06-10 12:07:40,2026-06-10 12:07:40,0
188,39072,34404,777,viewer,1,40290,2026-06-10 12:22:39,2026-06-10 12:22:39,0
190,40326,38872,889,viewer,1,40325,2026-06-11 11:01:42,2026-06-11 11:01:42,0
191,39013,null,874,viewer,1,40312,2026-06-11 12:54:22,2026-06-11 12:54:22,0
192,39013,40218,846,viewer,1,40312,2026-06-11 12:54:55,2026-06-11 12:54:55,0
193,39072,18,887,viewer,1,38860,2026-06-13 17:26:20,2026-06-13 17:26:20,0
194,40137,134,866,viewer,1,40119,2026-06-16 11:15:58,2026-06-16 11:15:58,0
195,40137,38860,866,viewer,1,40119,2026-06-16 11:17:11,2026-06-16 11:17:11,0
196,40349,40085,900,viewer,1,40119,2026-06-17 10:29:33,2026-06-17 10:29:33,0
197,40349,134,900,viewer,1,40119,2026-06-17 15:48:47,2026-06-17 15:48:47,0
198,40439,134,907,viewer,1,40438,2026-06-17 17:03:00,2026-06-17 17:03:00,0
199,39256,39314,893,viewer,1,39314,2026-06-18 12:30:19,2026-06-18 12:30:19,0
200,39256,39314,892,viewer,1,39314,2026-06-18 12:30:53,2026-06-18 12:30:53,0
201,39256,null,862,viewer,1,19,2026-06-18 15:35:50,2026-06-18 15:35:50,0
202,39256,40449,856,viewer,1,19,2026-06-18 15:36:36,2026-06-18 15:36:36,0
203,40137,40265,870,viewer,1,40119,2026-06-19 12:45:27,2026-06-19 12:45:27,0
204,39340,39314,823,viewer,1,39314,2026-06-23 11:02:50,2026-06-23 11:02:50,0
205,39256,39001,892,viewer,1,39239,2026-06-24 12:14:54,2026-06-24 12:14:54,0
206,40473,38872,912,viewer,1,38860,2026-06-24 12:41:27,2026-06-24 12:41:27,0
207,40505,134,917,viewer,1,40499,2026-06-29 15:55:12,2026-06-29 15:55:12,0
208,40524,33905,924,viewer,1,40522,2026-06-30 15:13:58,2026-06-30 15:13:58,0
209,40524,40482,924,viewer,1,40522,2026-06-30 15:13:58,2026-06-30 15:13:58,0
210,39072,38872,926,viewer,1,38872,2026-06-30 16:54:50,2026-06-30 16:54:50,0
211,39256,88,909,viewer,1,39314,2026-06-30 18:01:04,2026-06-30 18:01:04,0
212,40531,38872,937,viewer,1,40530,2026-07-01 11:10:22,2026-07-01 11:10:22,0
213,39256,39314,946,viewer,1,40290,2026-07-01 12:21:24,2026-07-01 12:21:24,0
214,39256,39001,946,viewer,1,40290,2026-07-01 12:21:24,2026-07-01 12:21:24,0
215,39256,19,948,viewer,1,40290,2026-07-01 12:21:28,2026-07-01 12:21:28,0
218,39256,35433,961,viewer,1,39314,2026-07-02 15:29:52,2026-07-02 15:29:52,0
219,39256,34939,962,viewer,1,39314,2026-07-02 15:31:01,2026-07-02 15:31:01,0
220,39256,37424,962,viewer,1,39314,2026-07-02 15:31:01,2026-07-02 15:31:01,0
221,39256,38424,963,viewer,1,39314,2026-07-03 15:27:58,2026-07-03 15:27:58,0
222,39256,35860,963,viewer,1,39314,2026-07-03 15:27:58,2026-07-03 15:27:58,0
