id,user_id,company_id,type,permission,is_deleted,create_date,status,modify_date
76,19,38941,1,[],1,2026-02-23 11:35:26,0,2026-02-23 11:35:26
77,38985,39295,1,[],0,2026-02-23 13:39:46,0,2026-02-23 13:39:46
78,639,39256,1,[],0,2026-02-23 15:20:51,0,2026-02-23 15:20:51
79,38985,39296,1,[],0,2026-02-23 15:57:32,0,2026-02-23 15:57:32
80,38985,39297,1,[],0,2026-02-23 17:32:58,0,2026-02-23 17:32:58
81,38985,39298,1,[],0,2026-02-23 17:34:58,0,2026-02-23 17:34:58
82,38985,39299,1,[],0,2026-02-23 17:35:13,0,2026-02-23 17:35:13
83,38985,39300,1,[],0,2026-02-23 17:53:47,0,2026-02-23 17:53:47
84,39001,39256,1,[],1,2026-02-25 16:39:28,0,2026-02-25 16:39:28
85,39304,39305,1,[],0,2026-02-25 18:34:26,0,2026-02-25 18:34:26
86,5014,38941,1,[],1,2026-02-26 12:20:59,0,2026-02-26 12:20:59
87,104,38941,1,[],0,2026-02-27 16:43:56,0,2026-02-27 16:43:56
88,639,38941,1,[],0,2026-02-27 16:44:21,0,2026-02-27 16:44:21
89,39307,39308,1,[],0,2026-03-02 16:17:17,0,2026-03-02 16:17:17
90,39307,39309,1,[],0,2026-03-02 16:28:08,0,2026-03-02 16:28:08
91,39307,39310,1,[],0,2026-03-02 16:34:03,0,2026-03-02 16:34:03
92,38860,39311,1,[],1,2026-03-02 16:57:17,0,2026-03-02 16:57:17
93,38860,39312,1,[],0,2026-03-02 17:03:15,0,2026-03-02 17:03:15
94,39314,38941,1,[],0,2026-03-03 11:40:27,0,2026-03-03 11:40:27
95,39314,39256,1,[],1,2026-03-03 11:40:51,0,2026-03-03 11:40:51
96,38829,39315,1,[],0,2026-03-03 12:18:47,0,2026-03-03 12:18:47
97,18,38941,1,[],0,2026-03-03 13:24:11,0,2026-03-03 13:24:11
98,38872,38941,1,[],1,2026-03-03 13:27:43,0,2026-03-03 13:27:43
99,39320,39321,1,[],0,2026-03-05 02:32:57,0,2026-03-05 02:32:57
100,39320,3493,1,[],0,2026-03-05 03:01:12,0,2026-03-05 03:01:12
101,38872,39311,1,[],1,2026-03-05 11:27:56,0,2026-03-05 11:27:56
102,39326,39327,1,[],0,2026-03-06 21:32:18,0,2026-03-06 21:32:18
