id,job,user,status,is_deleted,create_date,modify_date
160,10,556,1,0,2025-04-16 16:50:22,2025-04-16 16:50:22
161,12,558,1,0,2025-04-16 18:44:52,2025-04-16 18:44:52
162,11,560,1,0,2025-04-16 18:48:15,2025-04-16 18:48:15
163,40,570,1,0,2025-04-16 22:06:53,2025-04-16 22:06:53
164,38,570,1,0,2025-04-16 22:07:14,2025-04-16 22:07:14
165,31,570,1,0,2025-04-16 22:08:19,2025-04-16 22:08:19
166,24,570,1,0,2025-04-16 22:08:41,2025-04-16 22:08:41
167,9,570,1,0,2025-04-16 22:09:04,2025-04-16 22:09:04
168,22,570,1,0,2025-04-16 22:09:15,2025-04-16 22:09:15
169,12,570,1,0,2025-04-16 22:09:30,2025-04-16 22:09:30
170,12,571,1,0,2025-04-16 22:13:54,2025-04-16 22:13:54
171,38,573,1,0,2025-04-16 22:30:21,2025-04-16 22:30:21
172,16,570,1,0,2025-04-16 22:31:59,2025-04-16 22:31:59
173,10,570,1,0,2025-04-16 22:32:17,2025-04-16 22:32:17
174,25,578,1,0,2025-04-16 23:21:06,2025-04-16 23:21:06
175,5,579,1,0,2025-04-17 02:37:09,2025-04-17 02:37:09
176,10,587,1,0,2025-04-18 09:59:33,2025-04-18 09:59:33
177,30,595,1,0,2025-04-18 17:17:49,2025-04-18 17:17:49
178,7,588,1,0,2025-04-18 20:24:30,2025-04-18 20:24:30
179,38,598,1,0,2025-04-18 22:09:08,2025-04-18 22:09:08
180,7,599,1,0,2025-04-18 22:20:15,2025-04-18 22:20:15
181,11,603,1,0,2025-04-18 23:07:53,2025-04-18 23:07:53
182,12,606,1,0,2025-04-19 00:06:55,2025-04-19 00:06:55
183,40,613,1,0,2025-04-19 09:25:18,2025-04-19 09:25:18
184,38,613,1,0,2025-04-19 09:25:44,2025-04-19 09:25:44
185,27,134,1,0,2025-04-19 10:20:12,2025-04-19 10:20:12
186,7,559,1,0,2025-04-19 12:07:20,2025-04-19 12:07:20
187,13,618,1,0,2025-04-19 13:49:08,2025-04-19 13:49:08
188,40,39,1,0,2025-04-19 17:23:28,2025-04-19 17:23:28
189,7,623,1,0,2025-04-20 16:55:02,2025-04-20 16:55:02
190,30,625,1,0,2025-04-20 17:35:16,2025-04-20 17:35:16
191,13,626,1,0,2025-04-20 18:00:05,2025-04-20 18:00:05
192,12,627,1,0,2025-04-20 18:12:33,2025-04-20 18:12:33
193,40,631,1,0,2025-04-20 19:41:01,2025-04-20 19:41:01
194,7,635,1,0,2025-04-20 22:18:02,2025-04-20 22:18:02
195,13,636,1,0,2025-04-20 22:27:50,2025-04-20 22:27:50
196,13,639,1,0,2025-04-20 23:44:25,2025-04-20 23:44:25
197,10,642,1,0,2025-04-21 00:33:46,2025-04-21 00:33:46
198,10,641,1,0,2025-04-21 00:37:32,2025-04-21 00:37:32
199,38,646,1,0,2025-04-21 00:55:59,2025-04-21 00:55:59
200,40,657,1,0,2025-04-21 16:04:10,2025-04-21 16:04:10
201,12,657,1,0,2025-04-21 16:05:00,2025-04-21 16:05:00
202,38,661,1,0,2025-04-21 18:44:02,2025-04-21 18:44:02
203,30,661,1,0,2025-04-21 18:44:29,2025-04-21 18:44:29
204,40,499,1,0,2025-04-21 21:13:00,2025-04-21 21:13:00
205,12,669,1,0,2025-04-21 22:16:01,2025-04-21 22:16:01
206,11,668,1,0,2025-04-21 22:55:01,2025-04-21 22:55:01
