id,message_id,sender,receiver,message,doc,is_viewed,for_approval,view_datetime,is_deleted,create_date,modify_date
47,34,3458,13,NHErUW1Fc0FaQnBha212eGJqNGdiN1RvWk5DWTJQSGhvNnRhdE5xTm9CYmNDSG9GNjNycFpzcHdwVUJSa1NqZFZjWWhtbXplQk04THdCMXd1MUNiZTRtRWZUd3p0RVpTV0Y5WmgzTjRXNnYrSkZiYjBTdHpweGZtOUphUHA0d3JMTCtNL3ptK0VzRVhubW9EZ2Q2Z3JqQzlFMW40cHVpdUp2NVMrTldVZlRTa1VqaDFZNU1KenVBaStsSFQzTmxKUERaT2x6Uk02MVJzZnFad3A4bWdvMDhIVklJcWtSb3Q1a0hsU0F3SHEwd2pDMm9nNks0Zk1aRDMwbXpqQ0VWM3JqS1R1SWJhOFNDMzNQVjdub3REUDJrYlU0YktOZXdaSWJpQTdmREFad2J6MmdHbVRQeDh2d3JGL001ZTJHVlVFV1JOWmthVXZ1djJneGt0Qk1GUkszbSt3bFFKWEtsa3lCdlhFVTc5TTZhUENOWjhkMkY1MTlQTjVoNzJORFpUei9VVVJDMUdtellqNFZkWmQzVUhaclpobXlIdnJoNk9BNmJCUHVIaTcyelNkRW54Z3FpNU5KemNScmI4U1VlN3MwdklmM0t0dUM1cmlSZkJYdGVYWDlHWkVkMmx5UlRRV0xlQklNNHMzd1JsNGJvUis4Tnd3TDkrWWw1TUhrL04xdVpHREtJQTY5LzI1R2tRQkZTeklXckQvU1RKWkw5K3orQUVndkh6ZC81eEhWNjhMUzJkbnQ2bWZJeXBSa1JXYndsamNMNFE3REswR0YzcmdLMVJLTUd0cmJucnB1U1RRc1lnQU9nbXdKV1dFTWFBOXhQMEFvOFhjOVJrRGxJOXlKbXhnbHI5SFE3RGxMZFpwd0htaEdiSlFyYk5xcG9BQzZBS3B1bjlaV0xkSFhBZVVOOExtaVREcmxoK1dRY3NuUWhLR3hsbHhGMndKczU3bm1ucHVJVHVsV3ZjaWF6K1dubE95VzNKL1NzNmU1dG5BTnZiSkpNbEUxZWVkZlRwZHdSUDBRcWpSNzZCNitETzIyVmpmWEZRMmlmeVA4cVA4QzNteDl3WmQzRVpkNHdvUjBud2xmdzMwekZBaDFsTHJLM2pza294bDJUeDY1U1V3M0FxSFJyV2k5U1psSDBWbUdXZjBJNjdoU0U2ckJlOEVZaDl0N05LdjYweTNBQlhtU0xHQ1VHcm9ybmU4Q1I2WDVaTC9VL3lNaWtlYWFrb2ZmUUhuRnkvdmE0OVdIWWpXQlc2R00xUC9hYUZrY3Zn,"uploads/document/1749459990_d35006879fc75c901a13.pdf,",1,1,,0,2025-03-24 16:48:19,2025-03-24 16:48:19
48,35,4070,2,YWxGN2dWa0lUSTI3RW5ncnBZUEtrMktOekEwVjFKVmJpWXAwV21Tbjl5MzFwOGpleGs5cHpNTXIyMllqNC93VlNmcStrQ21aa3hnblovT3cwbnB3WHF3TzZzNDFVR05TWkhQMmJvVy9hNjJJQnkyMXFFamM1aE5yazNFM05YSW1wOWZOTUZGaEdSd2g2amxJWFBJZVpyaWVYTGkwQ1JhekxQd2pLbGk2NEJRZUFlaVBWU3pVRlppblFHR1dhbDFh,,1,1,,0,2025-03-24 16:53:19,2025-03-24 16:53:19
49,35,4070,2,VUtvN3FNQzVOMkNuK0JrbTY0QXVtdz09,,1,1,,0,2025-03-24 16:58:19,2025-03-24 16:58:19
50,15,653,134,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,1,1,,0,2025-03-24 17:03:19,2025-03-24 17:03:19
51,15,653,134,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,1,1,,0,2025-03-24 17:08:19,2025-03-24 17:08:19
52,37,2670,19,Z1k3UW9WY294cEtlNm51ZXY1YitqZz09,,1,1,,0,2025-03-24 17:13:19,2025-03-24 17:13:19
53,37,2670,19,Mkt1SHZSMWh4aW9LUTRibGxkYjlKdz09,,1,1,,0,2025-03-24 17:18:19,2025-03-24 17:18:19
54,37,2670,19,b3hLSE1OK1RpUnhZTVpHdWthamRHUT09,"uploads/document/1750245030_4d20c1f92425b5627ef2.jpg,",1,1,,0,2025-03-24 17:23:19,2025-03-24 17:23:19
55,39,4652,13,UC9rV3UzYmY0UVdlM0lWNGczQVpmRDVFNUZiVEVpTzFsQ09wSXdyeld0aU9iNU1rWmlDa0twL1EveWcyWER1d29yUmVGakhPVnR0L0NIbVN5UTdEVGc9PQ==,"uploads/document/1750417158_a1a1f4f5015560f820be.pdf,",1,1,,0,2025-03-24 17:28:19,2025-03-24 17:28:19
56,43,4729,1571,RGpXWlZxVGxOT25vSDZ6YUFpa0R4dz09,,0,1,,0,2025-03-24 17:33:19,2025-03-24 17:33:19
57,44,5311,2605,M0xMM3VlbnhKVUZUTmIyQ2lUa21RK2FVUXVZMWNYNysrNHVUaVFZbW9tbz0=,,0,1,,0,2025-03-24 17:38:19,2025-03-24 17:38:19
58,41,3109,4729,TTNUU1BrMGJHb1JhcVBqeXprcHNaZz09,,1,1,,0,2025-03-24 17:43:19,2025-03-24 17:43:19
59,41,3109,4729,Sms1TGttV04veHFKMTZ4S1AxWEN5VWkvcklCZ0F1M2p6NmZwNkRRSzltTFpLYTI2WVFvUzVVNnh3eFRnUE16VFFLT0FpRG9aUDN6Umd2TVd0VmVyc3c9PQ==,,1,1,,0,2025-03-24 17:48:19,2025-03-24 17:48:19
60,41,3109,4729,dHNreVFRbHFVa2EyVUdnb3cxYlJVeUVxNi9xUzFWTmZnSFhxbkN1Z2FMVDIySlBmc2xwVytkalhyUHdFc0JMZw==,,1,1,,0,2025-03-24 17:53:19,2025-03-24 17:53:19
61,47,3463,4729,RGpXWlZxVGxOT25vSDZ6YUFpa0R4dz09,,1,1,,0,2025-03-24 17:58:19,2025-03-24 17:58:19
62,48,3109,5014,aFMwL1JmL1NyQ0pBeU1IWVlWdjJnZz09,,1,1,,1,2025-03-24 18:03:19,2025-03-24 18:03:19
