id,company_job,skill,is_deleted,create_date
615,226,17714,0,2026-07-06 16:03:12
616,226,3091,0,2026-07-06 16:03:12
617,226,17715,0,2026-07-06 16:03:12
618,227,17720,0,2026-07-06 16:03:12
619,227,17721,0,2026-07-06 16:03:12
620,227,17722,0,2026-07-06 16:03:12
621,227,17723,0,2026-07-06 16:03:12
622,227,17724,0,2026-07-06 16:03:12
623,227,17725,0,2026-07-06 16:03:12
624,228,3486,0,2026-07-06 16:03:12
625,229,2664,0,2026-07-06 16:03:12
626,230,17728,0,2026-07-06 16:03:12
627,230,11208,0,2026-07-06 16:03:12
628,230,11209,0,2026-07-06 16:03:12
629,230,14643,0,2026-07-06 16:03:12
630,231,17227,0,2026-07-06 16:03:12
631,231,17263,0,2026-07-06 16:03:12
632,231,17492,0,2026-07-06 16:03:12
633,231,17729,0,2026-07-06 16:03:12
634,232,17227,0,2026-07-06 16:03:12
635,233,17728,0,2026-07-06 16:03:12
636,233,11209,0,2026-07-06 16:03:12
637,233,17707,0,2026-07-06 16:03:12
638,233,14643,0,2026-07-06 16:03:12
639,234,7872,0,2026-07-06 16:03:12
640,234,11208,0,2026-07-06 16:03:12
641,234,11209,0,2026-07-06 16:03:12
642,234,14643,0,2026-07-06 16:03:12
643,235,17738,0,2026-07-06 16:03:12
644,235,17739,0,2026-07-06 16:03:12
645,237,17449,0,2026-07-06 16:03:12
646,240,17575,0,2026-07-06 16:03:12
647,240,11041,0,2026-07-06 16:03:12
648,246,12831,0,2026-07-06 16:03:12
649,247,17653,0,2026-07-06 16:03:12
650,248,332,0,2026-07-06 16:03:12
651,248,849,0,2026-07-06 16:03:12
652,248,11028,0,2026-07-06 16:03:12
653,248,398,0,2026-07-06 16:03:12
654,249,898,0,2026-07-06 16:03:12
655,249,2890,0,2026-07-06 16:03:12
656,249,2662,0,2026-07-06 16:03:12
657,249,2664,0,2026-07-06 16:03:12
658,250,13562,0,2026-07-06 16:03:12
659,250,3671,0,2026-07-06 16:03:12
660,251,17509,0,2026-07-06 16:03:12
661,252,3983,0,2026-07-06 16:03:12
662,255,12586,0,2026-07-06 16:03:12
663,257,17607,0,2026-07-06 16:03:12
664,257,17555,0,2026-07-06 16:03:12
665,257,17652,0,2026-07-06 16:03:12
666,258,17652,0,2026-07-06 16:03:12
667,258,17557,0,2026-07-06 16:03:12
668,258,17575,0,2026-07-06 16:03:12
669,260,17767,0,2026-07-06 16:03:12
670,260,17768,0,2026-07-06 16:03:12
671,260,17769,0,2026-07-06 16:03:12
672,260,17770,0,2026-07-06 16:03:12
673,260,17771,0,2026-07-06 16:03:12
674,260,17772,0,2026-07-06 16:03:12
675,261,17777,0,2026-07-06 16:03:12
676,261,17344,0,2026-07-06 16:03:12
677,261,17378,0,2026-07-06 16:03:12
678,262,12576,0,2026-07-06 16:03:12
679,262,17751,0,2026-07-06 16:03:12
680,262,17778,0,2026-07-06 16:03:12
681,262,8191,0,2026-07-06 16:03:12
682,262,17779,0,2026-07-06 16:03:12
683,262,17780,0,2026-07-06 16:03:12
684,262,17670,0,2026-07-06 16:03:12
685,263,7774,0,2026-07-06 16:03:12
686,264,17297,0,2026-07-06 16:03:12
687,264,17372,0,2026-07-06 16:03:12
688,264,6528,0,2026-07-06 16:03:12
689,264,17404,0,2026-07-06 16:03:12
690,264,17338,0,2026-07-06 16:03:12
691,264,17786,0,2026-07-06 16:03:12
692,264,17310,0,2026-07-06 16:03:12
693,266,12589,0,2026-07-06 16:03:12
694,266,12590,0,2026-07-06 16:03:12
695,268,7637,0,2026-07-06 16:03:12
696,268,17282,0,2026-07-06 16:03:12
697,268,2860,0,2026-07-06 16:03:12
698,268,13756,0,2026-07-06 16:03:12
699,268,3983,0,2026-07-06 16:03:12
700,268,10422,0,2026-07-06 16:03:12
701,269,1792,0,2026-07-06 16:03:12
702,269,4900,0,2026-07-06 16:03:12
703,269,1311,0,2026-07-06 16:03:12
704,269,17814,0,2026-07-06 16:03:12
705,269,17575,0,2026-07-06 16:03:12
706,270,17815,0,2026-07-06 16:03:12
707,270,17575,0,2026-07-06 16:03:12
708,270,17310,0,2026-07-06 16:03:12
709,270,17816,0,2026-07-06 16:03:12
710,270,17817,0,2026-07-06 16:03:12
711,270,17818,0,2026-07-06 16:03:12
712,270,17819,0,2026-07-06 16:03:12
713,270,17820,0,2026-07-06 16:03:12
714,270,17821,0,2026-07-06 16:03:12
715,270,17822,0,2026-07-06 16:03:12
716,270,17823,0,2026-07-06 16:03:12
717,270,17824,0,2026-07-06 16:03:12
718,270,17825,0,2026-07-06 16:03:12
719,270,17826,0,2026-07-06 16:03:12
720,271,17310,0,2026-07-06 16:03:12
721,271,17575,0,2026-07-06 16:03:12
722,272,17263,0,2026-07-06 16:03:12
723,272,7352,0,2026-07-06 16:03:12
724,272,5927,0,2026-07-06 16:03:12
725,273,5927,0,2026-07-06 16:03:12
726,273,17263,0,2026-07-06 16:03:12
727,273,7352,0,2026-07-06 16:03:12
728,275,17829,0,2026-07-06 16:03:12
729,275,17830,0,2026-07-06 16:03:12
730,275,17831,0,2026-07-06 16:03:12
731,275,17832,0,2026-07-06 16:03:12
732,275,17833,0,2026-07-06 16:03:12
733,275,17834,0,2026-07-06 16:03:12
734,275,17837,0,2026-07-06 16:03:12
735,275,17838,0,2026-07-06 16:03:12
