id,user,skill,rating,status,is_deleted,create_date,modify_date
6519,40355,19315,4,1,0,,
6520,40355,19358,4,1,0,,
6521,40355,17389,4,1,0,,
6522,40355,18960,4,1,0,,
6523,40355,18961,4,1,0,,
6524,40355,19354,4,1,0,,
6525,40355,18962,4,1,0,,
6526,40362,18957,4,1,0,,
6527,40362,18958,3,1,0,,
6528,40362,17565,4,1,0,,
6529,40362,18959,4,1,0,,
6530,40362,19357,4,1,0,,
6531,40362,19315,4,1,0,,
6532,40362,19358,4,1,0,,
6533,40362,17389,4,1,0,,
6534,40362,18960,4,1,0,,
6535,40362,18961,4,1,0,,
6536,40362,19354,4,1,0,,
6537,40362,18962,4,1,0,,
6538,40386,18957,4,1,0,,
6539,40386,18958,4,1,0,,
6540,40386,17565,4,1,0,,
6541,40386,18959,3,1,0,,
6542,40386,19357,4,1,0,,
6543,40386,19315,3,1,0,,
6544,40386,19358,4,1,0,,
6545,40386,17389,4,1,0,,
6546,40386,18960,4,1,0,,
6547,40386,18961,4,1,0,,
6548,40388,19333,4,1,0,,
6549,40388,17781,4,1,0,,
6550,40440,19315,5,1,0,,
6551,40440,18443,5,1,0,,
6552,40440,19346,5,1,0,,
6553,40440,18462,5,1,0,,
6554,40440,18041,5,1,0,,
6555,40440,17369,5,1,0,,
6556,40440,19351,5,1,0,,
6557,40440,17325,5,1,0,,
6558,40440,17326,5,1,0,,
6559,40440,19368,5,1,0,,
6560,40440,17415,5,1,0,,
6561,40440,18943,5,1,0,,
6562,40440,17327,5,1,0,,
6563,40440,19369,5,1,0,,
6564,40440,17751,5,1,0,,
6565,40440,19370,5,1,0,,
6566,40440,19371,5,1,0,,
6567,40440,19147,5,1,0,,
6568,40440,17765,5,1,0,,
6569,40440,17780,5,1,0,,
6570,40440,19372,5,1,0,,
6571,40440,19373,5,1,0,,
6572,40440,17565,5,1,0,,
6573,40440,19374,5,1,0,,
6574,40440,19375,5,1,0,,
6575,40440,19376,5,1,0,,
6576,40440,19377,5,1,0,,
6577,40440,19347,5,1,0,,
6578,40440,19348,5,1,0,,
6579,40452,19333,4,1,0,,
6580,40449,18822,3,1,0,,
6581,40449,13930,4,1,0,,
6582,40449,18443,5,1,0,,
6583,40465,19333,4,1,0,,
6589,40475,17514,2,1,0,,
6590,40475,18743,1,1,0,,
6591,40475,17481,5,1,0,,
6592,40290,15552,4,1,0,,
6593,38860,17014,4,1,0,,
6594,38860,14310,4,1,0,,
6595,40503,19119,5,1,0,,
6601,40534,19315,5,1,0,,
6602,40534,19358,5,1,0,,
6603,40534,17389,5,1,0,,
6609,40534,18958,4,1,0,,
6611,40534,18959,3,1,0,,
6617,40551,15850,3,1,0,,
6620,40551,18957,4,1,0,,
6621,40551,18958,4,1,0,,
6622,40551,17565,4,1,0,,
6623,40551,18959,5,1,0,,
6624,40551,19357,5,1,0,,
6625,40551,19315,3,1,0,,
6626,40551,19358,3,1,0,,
6627,40551,17389,5,1,0,,
6628,40551,18960,5,1,0,,
6629,40551,18961,2,1,0,,
6630,40551,19354,5,1,0,,
6631,40551,18962,5,1,0,,
6632,40554,18957,4,1,0,,
6633,40554,18958,4,1,0,,
6634,40554,17565,4,1,0,,
6635,40554,18959,4,1,0,,
6636,40554,19357,4,1,0,,
6637,40554,19315,3,1,0,,
6638,40554,19358,4,1,0,,
6639,40554,17389,4,1,0,,
6640,40554,18960,3,1,0,,
6641,40554,18961,4,1,0,,
6642,40554,19354,4,1,0,,
6643,40554,18962,4,1,0,,
6644,40598,18957,4,1,0,,
6645,40598,18958,5,1,0,,
6646,40598,17565,3,1,0,,
6647,40598,18959,5,1,0,,
6648,40598,19357,5,1,0,,
6649,40598,19315,5,1,0,,
6650,40598,19358,1,1,0,,
6651,40598,17389,4,1,0,,
6652,40598,18960,4,1,0,,
6653,40598,18961,2,1,0,,
6654,40598,19354,5,1,0,,
6655,40598,18962,5,1,0,,
6656,18,19423,4,1,0,,
6657,40290,19351,4,1,0,,
6658,40290,17325,4,1,0,,
6659,40290,17290,4,1,0,,
6668,40659,18957,4,1,0,,
6669,40659,18958,3,1,0,,
6670,40449,15091,3,1,0,,
6671,40449,19352,4,1,0,,
6673,40265,7,0,1,0,,
6674,40265,11,0,1,0,,
6675,40265,12,0,1,0,,
