id,company_id,benefit_id,description,status,sortOrder,is_deleted,create_date,modify_date
52,653,1,,1,,1,2025-05-16 11:51:26,2025-05-16 11:51:26
53,653,2,,1,,1,2025-05-16 11:51:28,2025-05-16 11:51:28
54,2064,20,,1,,0,2025-05-18 22:25:21,2025-05-18 22:25:21
55,653,3,,1,,1,2025-05-22 17:14:53,2025-05-22 17:14:53
56,653,3,,1,,1,2025-05-22 17:15:02,2025-05-22 17:15:02
57,2451,26,,1,,0,2025-05-24 12:02:18,2025-05-24 12:02:18
58,2478,1,,1,,0,2025-05-25 05:23:34,2025-05-25 05:23:34
59,2569,27,,1,,0,2025-05-26 10:49:03,2025-05-26 10:49:03
60,653,2,,1,,1,2025-05-29 10:48:29,2025-05-29 10:48:29
61,653,5,,1,,0,2025-05-29 10:48:40,2025-05-29 10:48:40
62,653,6,,1,,1,2025-05-29 10:58:18,2025-05-29 10:58:18
63,2794,2,,1,,0,2025-05-30 12:51:18,2025-05-30 12:51:18
64,2794,13,,1,,0,2025-05-30 12:51:35,2025-05-30 12:51:35
65,2794,17,,1,,0,2025-05-30 12:51:48,2025-05-30 12:51:48
66,2794,20,,1,,0,2025-05-30 12:51:54,2025-05-30 12:51:54
67,2794,21,,1,,0,2025-05-30 12:52:10,2025-05-30 12:52:10
68,2810,28,,1,,0,2025-05-30 13:43:38,2025-05-30 13:43:38
69,2976,27,,1,,0,2025-06-03 00:52:23,2025-06-03 00:52:23
70,2976,1,,1,,0,2025-06-03 00:52:32,2025-06-03 00:52:32
71,3053,22,,1,,0,2025-06-04 13:39:15,2025-06-04 13:39:15
72,3053,19,,1,,0,2025-06-04 13:39:29,2025-06-04 13:39:29
73,3053,2,,1,,0,2025-06-04 13:39:40,2025-06-04 13:39:40
74,3219,2,,1,,0,2025-06-06 12:36:00,2025-06-06 12:36:00
75,3051,1,,1,,0,2025-06-07 15:56:59,2025-06-07 15:56:59
76,653,3,,1,,1,2025-06-10 11:24:49,2025-06-10 11:24:49
77,5391,21,,1,,1,2025-06-26 20:14:12,2025-06-26 20:14:12
78,5391,13,,1,,0,2025-06-26 20:14:27,2025-06-26 20:14:27
79,5391,21,,1,,0,2025-06-26 20:14:43,2025-06-26 20:14:43
80,5391,4,,1,,0,2025-06-26 20:14:54,2025-06-26 20:14:54
81,5391,2,,1,,0,2025-06-26 20:15:01,2025-06-26 20:15:01
