id,notification_id,user_id,is_deleted,create_date
285,15816,38860,0,2026-06-26 17:51:42
286,15815,38860,0,2026-06-26 17:51:42
287,15800,38860,0,2026-06-26 17:51:42
288,15799,38860,0,2026-06-26 17:51:42
289,15768,38860,0,2026-06-26 17:51:42
290,15745,38860,0,2026-06-26 17:51:42
291,15707,38860,0,2026-06-26 17:51:42
292,15704,38860,0,2026-06-26 17:51:42
293,15703,38860,0,2026-06-26 17:51:42
294,15700,38860,0,2026-06-26 17:51:42
295,15699,38860,0,2026-06-26 17:51:42
296,15696,38860,0,2026-06-26 17:51:42
297,15693,38860,0,2026-06-26 17:51:42
298,15692,38860,0,2026-06-26 17:51:42
299,15685,38860,0,2026-06-26 17:51:42
300,15684,38860,0,2026-06-26 17:51:42
301,15679,38860,0,2026-06-26 17:51:42
302,15674,38860,0,2026-06-26 17:51:42
303,15669,38860,0,2026-06-26 17:51:42
304,15667,38860,0,2026-06-26 17:51:42
305,15666,38860,0,2026-06-26 17:51:42
306,15665,38860,0,2026-06-26 17:51:42
307,15661,38860,0,2026-06-26 17:51:42
308,15637,38860,0,2026-06-26 17:51:42
309,15605,38860,0,2026-06-26 17:51:42
310,15596,38860,0,2026-06-26 17:51:42
311,15595,38860,0,2026-06-26 17:51:42
312,15586,38860,0,2026-06-26 17:51:42
313,15529,38860,0,2026-06-26 17:51:42
314,15528,38860,0,2026-06-26 17:51:42
315,15527,38860,0,2026-06-26 17:51:42
316,15522,38860,0,2026-06-26 17:51:42
317,15521,38860,0,2026-06-26 17:51:42
318,15509,38860,0,2026-06-26 17:51:42
319,15499,38860,0,2026-06-26 17:51:42
320,15477,38860,0,2026-06-26 17:51:42
321,15473,38860,0,2026-06-26 17:51:42
322,15468,38860,0,2026-06-26 17:51:42
323,15464,38860,0,2026-06-26 17:51:42
324,15455,38860,0,2026-06-26 17:51:42
325,15454,38860,0,2026-06-26 17:51:42
326,15453,38860,0,2026-06-26 17:51:42
327,15440,38860,0,2026-06-26 17:51:42
328,15434,38860,0,2026-06-26 17:51:42
329,15958,38860,0,2026-06-26 18:04:16
330,15954,38860,0,2026-06-26 18:04:16
331,15951,38860,0,2026-06-26 18:04:16
332,15946,38860,0,2026-06-26 18:04:16
333,15944,38860,0,2026-06-26 18:04:16
334,15936,38860,0,2026-06-26 18:04:16
335,15935,38860,0,2026-06-26 18:04:16
336,15934,38860,0,2026-06-26 18:04:16
337,15933,38860,0,2026-06-26 18:04:16
338,15923,38860,0,2026-06-26 18:04:16
339,15922,38860,0,2026-06-26 18:04:16
340,15921,38860,0,2026-06-26 18:04:16
341,15919,38860,0,2026-06-26 18:04:16
342,15918,38860,0,2026-06-26 18:04:16
343,15917,38860,0,2026-06-26 18:04:16
344,15916,38860,0,2026-06-26 18:04:16
345,15915,38860,0,2026-06-26 18:04:16
346,15914,38860,0,2026-06-26 18:04:16
347,15913,38860,0,2026-06-26 18:04:16
348,15912,38860,0,2026-06-26 18:04:16
349,15911,38860,0,2026-06-26 18:04:16
350,15902,38860,0,2026-06-26 18:04:16
351,15899,38860,0,2026-06-26 18:04:16
352,15898,38860,0,2026-06-26 18:04:16
353,15897,38860,0,2026-06-26 18:04:16
354,15890,38860,0,2026-06-26 18:04:16
355,15884,38860,0,2026-06-26 18:04:16
356,15873,38860,0,2026-06-26 18:04:16
357,15872,38860,0,2026-06-26 18:04:16
358,15870,38860,0,2026-06-26 18:04:16
359,15868,38860,0,2026-06-26 18:04:16
360,15866,38860,0,2026-06-26 18:04:16
