original_id,original_name,canonical_name,reason
12868,Frontend & Shopify Developer,Frontend Developer,Word count mismatch
12872,Frontend web developer,Frontend Developer,Word count mismatch
12875,Delivery Executive / Delivery Boy,Delivery Executive Delivery Boy,Word count mismatch
12880,Doubt Faculty & Mentor,Doubt Faculty Mentor,Word count mismatch
12929,Senior Graphic designer and Ui designer,Senior Graphic Designer And User Interface Designer,Word count mismatch
12941,"Pune,chakan",Pune Chakan,Word count mismatch
12947,QA Automation,Quality Assurance Automation,Word count mismatch
12948,Senior IT manager / trading exchange,Senior It Manager Trading Exchange,Word count mismatch
12951,Compliance QA Tester,Compliance Quality Assurance Tester,Word count mismatch
12979,Assistant Manager - HR Recruiter,Assistant Manager Hr Recruiter,Word count mismatch
12995,Commercial & Admin Executive,Commercial Admin Executive,Word count mismatch
13000,VPC In-charge,Vpc In Charge,Word count mismatch
13001,PDI In-charge,Pdi In Charge,Word count mismatch
13012,Executive II - Systems Development,Executive Ii Systems Development,Word count mismatch
13015,Data Management & Verification Executive,Data Management Verification Executive,Word count mismatch
13018,Administration & Accounts Lead,Administration Accounts Lead,Word count mismatch
13023,Ux and ui designer& frontend developer,Frontend Developer,Word count mismatch
13030,Sr.officer,Senior Officer,Word count mismatch
13038,Lead - Creative and Media,Lead Creative And Media,Word count mismatch
13077,Team Lead & Web developer,Team Lead Web Developer,Word count mismatch
13080,Graphic Designer & Social Media Marketing,Graphic Designer Social Media Marketing,Word count mismatch
13093,C.o,C O,Word count mismatch
13102,•	Senior Manager – Sales & Marketing,• Senior Manager – Sales Marketing,Word count mismatch
13107,Draftsman & 3D Designer (SP3D),Draftsman 3D Designer Sp3D,Word count mismatch
13108,Draftsman & Interior Designer,Draftsman Interior Designer,Word count mismatch
13120,Web & Graphic designer,Web Graphic Designer,Word count mismatch
13132,CNC / VMC Machine Operator,Cnc Vmc Machine Operator,Word count mismatch
13143,National sales & marketing manager,National Sales Marketing Manager,Word count mismatch
13145,Sr.BDE,Senior Bde,Word count mismatch
13171,Sales & Customer Service Executive,Sales Customer Service Executive,Word count mismatch
13179,Senior Business Manager & Customer Support,Senior Business Manager Customer Support,Word count mismatch
13184,Technical Lead - Cybersecurity,Technical Lead Cybersecurity,Word count mismatch
13194,Data/Lead Generator,Data Lead Generator,Word count mismatch
13202,X-ray technitian,X Ray Technitian,Word count mismatch
13203,"BDA, AM-SALES",Bda Am Sales,Word count mismatch
13220,Jr.Officer,Junior Officer,Word count mismatch
13227,Sr.MIS,Senior Mis,Word count mismatch
13228,Sr.EXECTIVE,Senior Exective,Word count mismatch
13243,Deputy manager purchase & Vendor Development,Deputy Manager Purchase Vendor Development,Word count mismatch
13273,WhatsApp Marketing & Email Marketing,Whatsapp Marketing Email Marketing,Word count mismatch
13275,Sanitary inspector & Incharge,Sanitary Inspector Incharge,Word count mismatch
13276,Manager-Project and Development,Manager Project And Development,Word count mismatch
13292,QA,Quality Assurance,Word count mismatch
13297,QA SDET,Quality Assurance Sdet,Word count mismatch
13305,Node.js Developer,Node Js Developer,Word count mismatch
